instance,lower_bound,baseline_best,baseline_gap_%,baseline_time_s,dqn_best,dqn_gap_%,dqn_time_s,gap_improvement,speedup
tai200_10_1,10422,10811,3.732,0.15,10796,3.589,0.52,0.143,0.29
tai200_10_2,10886,11135,2.287,0.14,11123,2.177,0.59,0.11,0.24
tai200_10_3,10794,11057,2.437,0.17,11057,2.437,0.58,0.0,0.29
tai200_10_4,10437,10738,2.884,0.14,10738,2.884,0.64,0.0,0.22
tai200_10_5,10255,10507,2.457,0.18,10507,2.457,0.62,0.0,0.29
tai200_10_6,10761,11028,2.481,0.16,10998,2.202,0.71,0.279,0.23
tai200_10_7,10663,10946,2.654,0.19,10946,2.654,0.59,0.0,0.32
tai200_10_8,10348,10700,3.402,0.15,10667,3.083,0.72,0.319,0.21
tai200_10_9,10616,10875,2.44,0.2,10875,2.44,0.55,0.0,0.36
tai200_20_0,10979,11681,6.394,0.14,11681,6.394,0.63,0.0,0.22
tai200_20_1,10947,11868,8.413,0.16,11784,7.646,0.57,0.767,0.28
tai200_20_2,11150,11861,6.377,0.17,11822,6.027,0.62,0.35,0.27
tai200_20_3,11127,12005,7.891,0.16,11920,7.127,0.51,0.764,0.31
tai200_20_4,11132,11810,6.091,0.15,11752,5.57,0.49,0.521,0.31
tai200_20_5,11085,11938,7.695,0.16,11736,5.873,0.43,1.822,0.37
tai200_20_6,11194,12151,8.549,0.13,11860,5.95,0.44,2.599,0.3
tai200_20_7,11126,12098,8.736,0.13,11949,7.397,0.42,1.339,0.31
tai200_20_8,10965,11954,9.02,0.13,11739,7.059,0.66,1.961,0.2
tai200_20_9,11122,11969,7.616,0.17,11952,7.463,0.7,0.153,0.24
tai500_20_0,25922,26831,3.507,0.62,26831,3.507,2.01,0.0,0.31
tai500_20_1,26353,27416,4.034,0.58,27402,3.981,1.49,0.053,0.39
tai500_20_2,26320,27337,3.864,0.52,27141,3.119,1.52,0.745,0.34
tai500_20_3,26424,27226,3.035,0.51,27172,2.831,2.08,0.204,0.25
tai500_20_4,26181,27173,3.789,0.54,27122,3.594,1.92,0.195,0.28
tai500_20_5,26401,27326,3.504,0.51,27240,3.178,1.95,0.326,0.26
tai500_20_6,26300,26966,2.532,0.51,26941,2.437,1.93,0.095,0.26
tai500_20_7,26429,27512,4.098,0.5,27342,3.455,1.96,0.643,0.26
tai500_20_8,25891,27139,4.82,0.54,26875,3.801,1.91,1.019,0.28
tai500_20_9,26315,27261,3.595,0.51,27098,2.975,1.91,0.62,0.27
